song name,danceability (0-1),energy (0-1),valence (0-1),tempo (BPM),loudness (Decibels),speechiness (0-1),instrumentalness (0-1),How much we like it  (1-10)
Space is the Place,0.62,0.262,0.414,91.201,-13.878,0.0736,0.925,7
Feels Like We Only Go Backwards,0.303,0.9,0.491,149.508,-2.352,0.0574,0.635,9
When I Was Done Dying,0.426,0.815,0.297,195.123,-7.566,0.0666,0.0307,9
Foreplay / Long Time,0.436,0.657,0.21,118.693,-8.868,0.0541,0.00748,10
The Great Gig in the Sky,0.275,0.216,0.181,116.388,-13.818,0.0345,0.897,10
Let It Happen,0.602,0.881,0.577,125.012,-5.875,0.0443,0.0266,9
Us and Them,0.356,0.302,0.126,72.623,-14.528,0.0346,0.546,10
Crossroads,0.787,0.255,0.6,105.97,-14.733,0.0399,0.00959,9
Window of My Mind,0.476,0.548,0.289,95,-9.769,0.0339,0.000185,8
The First Person on Earth,0.522,0.311,0.344,142.205,-10.958,0.0267,6.76E-06,8
Daughter of My Sins,0.711,0.541,0.634,110.164,-7.985,0.0347,0.0296,8
Ain't No Sunshine featuring Tracy Chapman,0.666,0.421,0.441,79.919,-8.553,0.0421,0.0134,9
Thinking of You,0.823,0.334,0.656,112.713,-13.296,0.052,0.00192,8
To Know You Is To Love You,0.872,0.384,0.938,102.597,-16.204,0.0388,0.317,9
Take Me to the River,0.786,0.418,0.94,119.101,-11.115,0.0432,0.000158,7
Hey Jude,0.561,0.385,0.664,81.599,-15.33,0.0323,0.000496,9
Say Hallelujah,0.85,0.32,0.528,126.226,-10.044,0.0489,0,9
Ultralight Beam,0.34,0.26,0.149,90.047,-10.626,0.0425,0,9
Tired of Being Alone,0.772,0.397,0.617,97.964,-8.585,0.0391,0.00541,8
Skin Deep (feat. Derek Trucks),0.576,0.566,0.495,135.104,-6.17,0.0331,3.07E-05,7
Stand by Me - Live at the Late Show with David Letterman,0.816,0.144,0.523,99.678,-10.148,0.0398,7.81E-06,9
Mannish Boy,0.568,0.898,0.833,110.824,-8.833,0.0862,0.0787,8
Everybody Loves The Sunshine,0.822,0.319,0.435,82.995,-11.237,0.0567,0.269,9
Unsung Psalm,0.607,0.11,0.259,120.409,-15.913,0.0376,0,8
Feels Like Rain,0.572,0.348,0.34,73.303,-13.454,0.0293,0.000731,8
Gravity,0.764,0.326,0.237,123.98,-9.883,0.0342,0.0013,10
Fast Car,0.711,0.292,0.194,103.951,-15.523,0.037,0,10
Speak the Word,0.606,0.513,0.512,99.182,-11.388,0.0261,2.05E-06,9
The Fox,0.635,0.648,0.889,120.491,-8.462,0.0412,1.64E-05,10
Save Us All,0.73,0.406,0.656,168.861,-9.847,0.0763,8.69E-05,9
All That You Have Is Your Soul,0.571,0.0967,0.518,146.384,-16.315,0.0478,0,8
Lazarus,0.66,0.695,0.506,129.972,-6.896,0.029,0.145,9
